ra,dec,sep
13.83333,46.21583,0.03333333333333333
85.83446,-41.03225,0.03333333333333333
99.13562,35.59536,0.03333333333333333
106.03612,26.41969,0.03333333333333333
120.845,-28.47467,0.03333333333333333
128.27396,-22.80906,0.03333333333333333
129.59162,48.63392,0.03333333333333333
129.70462,-48.52353,0.03333333333333333
141.97121,-69.74497,0.03333333333333333
227.35837,-66.82314,0.03333333333333333
252.48179,-33.11717,0.03333333333333333
253.68208,-19.27222,0.03333333333333333
255.36729,-43.10342,0.03333333333333333
259.89963,-41.01492,0.03333333333333333
262.58958,-5.99264,0.03333333333333333
265.038,-28.79056,0.03333333333333333
265.06708,-29.06058,0.03333333333333333
267.47758,-29.72647,0.03333333333333333
270.91529,40.20572,0.03333333333333333
274.34242,-25.14517,0.03333333333333333
277.70808,-12.53864,0.03333333333333333
279.83325,-4.89814,0.03333333333333333
283.3775,-1.47108,0.03333333333333333
291.6125,13.36803,0.03333333333333333
301.59333,36.69544,0.03333333333333333
303.904,37.18969,0.03333333333333333
314.21683,-30.24394,0.03333333333333333
320.93679,42.30061,0.03333333333333333
339.68267,1.13908,0.03333333333333333
348.88275,-30.81322,0.03333333333333333
353.358,15.37281,0.03333333333333333
353.50646,39.36192,0.03333333333333333
