ra,dec,sep
5.74012,61.6855,0.03333333333333333
7.20375,59.28933,0.03333333333333333
44.03396,19.44272,0.03333333333333333
52.8,43.90472,0.03333333333333333
75.61496,24.75614,0.03333333333333333
78.05508,-32.69439,0.03333333333333333
82.35637,-32.81814,0.03333333333333333
89.49696,53.89586,0.03333333333333333
96.31762,73.57747,0.03333333333333333
112.871,9.93939,0.03333333333333333
113.15683,-13.51917,0.03333333333333333
117.82221,14.73997,0.03333333333333333
119.25554,63.10039,0.03333333333333333
175.91046,71.68867,0.03333333333333333
189.56825,-38.71278,0.03333333333333333
193.10196,-29.24931,0.03333333333333333
237.06042,-45.4775,0.03333333333333333
258.15179,-24.24575,0.03333333333333333
271.8755,45.85908,0.03333333333333333
283.75833,-31.16333,0.03333333333333333
299.56033,32.54506,0.03333333333333333
310.04042,-0.87119,0.03333333333333333
323.43188,51.12347,0.03333333333333333
334.48121,-8.3515,0.03333333333333333
343.82496,-3.17778,0.03333333333333333
